created,id_str,text,user_id,screen_name,location,followers_count,user_favourites_count,time_zone,geo_enabled,verified,status_count,geo,coords,retweet_count,tweet_favourite_count,Subjectivity,Polarity,Sentiment
2021-03-11 14:55:57,1370025707150008328,"BarackObama: Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one anothe…",321043183,asunak22,,30,22311,,True,False,10485,,,10733,0,0.3,1.0,positive
2021-03-11 14:55:56,1370025705849856002,KhushnumaKashm1: LG manojsinha_  takes the first dose of COVID-19 and we all are moving ahead to fight this pandemic. Kashmir is grow…,1345602092237348865,Pradeep61646780,,0,1007,,False,False,1045,,,526,0,0.3333333333333333,0.25,positive
2021-03-11 14:55:56,1370025704771915779,Native American vaccination rates skyrocket as tribe help others despite Internet challenges ,1020348866,lynettewedig,,106,30317,,True,False,4484,,,0,0,0.0,0.0,neutral
2021-03-11 14:55:56,1370025703597608960,angelovalidiya: I am asking again are we lab rats?You decide. Read my blog post.Consent forms and information sent to me by a followe…,960687805,DAccampoFamily,"Memphis, Tennessee",1777,39759,,True,False,131643,,,127,0,0.0,0.0,neutral
2021-03-11 14:55:56,1370025702750228486,HotlineJosh: Here’s the even more important lead on the Pfizer vaccine: “Pfizer Inc... said real-world data from Israel suggests that…,1360624596,burientim,"Burien, WA",17,1868,,False,False,4128,,,342,0,0.75,0.45,positive
2021-03-11 14:55:55,1370025701378756610,mariamainmo: Girls don't want boys. They want the covid vaccine and a nice apartment,1496479104,khyliegroover,,176,4482,,True,False,2529,,,25411,0,1.0,0.6,positive
2021-03-11 14:55:55,1370025700514799616,"Another for HuffPost urging you to shift your perspective on the relationship btw weight and COVID-19. (But, yes, use your BMI to get the vaccine! Might as well take advantage of the flawed science being used in your favor for once.)",598976673,ChristineJByrne,"Raleigh, NC",4832,4574,,True,True,4500,,,0,0,0.5,-0.5,negative
2021-03-11 14:55:55,1370025700393033737,"Covid vaccine supply blips will fall now ‘bumps’ are ironed out, pharma experts say",1252736857626025991,SafeHomeDiy,,278,0,,False,False,8195,,,0,0,0.0,0.0,neutral
2021-03-11 14:55:55,1370025699029831684,How to Find a Covid-19 Vaccine Appointment in Your Area - WIRED ,116839904,SportsTechieNET,Atlanta via Seattle,9814,5525,,True,False,121678,,,0,0,0.0,0.0,neutral
2021-03-11 14:55:55,1370025698514006019,mariamainmo: Girls don't want boys. They want the covid vaccine and a nice apartment,1719432090,natily_xoxo,One Way St. ,156,3596,,True,False,4766,,,25411,0,1.0,0.6,positive
2021-03-11 14:55:54,1370025697951969284,"BarackObama: Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one anothe…",28850087,azn_pinoy_95,"Austin, TX",129,1907,,False,False,2076,,,10733,0,0.3,1.0,positive
2021-03-11 14:55:54,1370025697775734785,"BarackObama: Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one anothe…",760487864593416193,narendraheriya,"Ahmadabad City, India",416,5653,,True,False,4273,,,10733,0,0.3,1.0,positive
2021-03-11 14:55:54,1370025695536017411,"RisingBharat_: Guyana receives 80,000 doses of Covishield Covid-19 vaccine from India  VaccineMaitri In a tweet, External Affairs Mi…",1376973763,prajapatiratil1,"Ahmadabad City, India",248,71623,,True,False,7358,,,5,0,0.1,0.0,neutral
