created,id_str,text,user_id,screen_name,location,followers_count,user_favourites_count,time_zone,geo_enabled,verified,status_count,geo,coords,retweet_count,tweet_favourite_count,Subjectivity,Polarity,Sentiment
2021-03-15 00:43:02,1371260615805841412,JuddLegum: JohnKavanagh_AZ ATT Allstate BCBSAssociation CoxComm WeAreFarmers pfizer UnitedHealthGrp USAA Prudential WellsFar…,40551346,spmarx,,1198,55169,,False,False,29262,,,352,0,0.0,0.0,neutral
2021-03-15 00:43:02,1371260615428214784,"AlexBerenson: As the kids say, lolcatz. Though Moderna avoids calling what it does gene therapy (in part because regulators historicall…",2914455752,QuanKimberly,"California, USA",591,78563,,False,False,9902,,,82,0,0.0,0.0,neutral
2021-03-15 00:43:01,1371260613490511876,"FriendEden100: Even though U.S. Postal workers are listed as essential workers, &amp; the CDC says they should be prioritized for early vac…",822988306443108352,holme_susan,Virginia,1590,19794,,False,False,64401,,,15,0,0.3,0.05,positive
2021-03-15 00:43:01,1371260613373100035,"AlexBerenson: As the kids say, lolcatz. Though Moderna avoids calling what it does gene therapy (in part because regulators historicall…",1322924348504711185,Patrici26077567,,425,102661,,False,False,50770,,,82,0,0.0,0.0,neutral
2021-03-15 00:43:00,1371260607442325506,diana_murphy613: Is JustinTrudeau so desperate to have vaccine numbers that he’ll risk seniors lives with astra Zeneca vaccine.  Irela…,1345202549964603394,Rose_McIntyre77,,65,13465,,False,False,10209,,,106,0,1.0,-0.6,negative
2021-03-15 00:43:00,1371260607027163140,To each it’s own if you want to get the covid vaccine. But don’t shame anyone for not wanting to get the vaccine,240807409,VaiysTheBest,,650,803,,True,False,33079,,,0,0,1.0,0.6,positive
2021-03-15 00:43:00,1371260606515269633,"CNNSotu: Dr. Anthony Fauci says he’s optimistic that towards the “end of the summer,” everyone who wants a shot will have gotten one th…",824854156078829568,RedHandedBill,,45,23782,,False,False,9803,,,154,0,0.1,0.2,positive
2021-03-15 00:42:58,1371260599150149635,"uba_dike: BREAKING NEWS:

Ireland suspends with immediate effect from today 14th March 2021 the COVID-19 vaccination with Oxford-AstraZ…",1224321762818527232,henryobyno,,619,61,,False,False,61306,,,97,0,0.0,0.0,neutral
2021-03-15 00:42:56,1371260593433366530,OHdeptofhealth: COVID19 Vaccines: Trust the Facts. The COVID-19 vaccine trials were among the largest in history. Learn more: ,21393108,doomed26,Ohio,79,40076,,True,False,9587,,,38,0,0.5,0.5,positive
2021-03-15 00:42:56,1371260590530777091,"DanRather: Over the past year, it's been horrific tracking daily case rates, hospitalizations, and deaths from COVID, but watching vacc…",796930492486430720,polygirl32,,1000,333746,,True,False,162713,,,138,0,0.4166666666666667,-0.4166666666666667,negative
2021-03-15 00:42:54,1371260585296359429,"johnflat DrLeanaWen High fever is not common from the vaccine, but possible. At least it is a quick recovery.  COVID can take much longer to recover from, or in some cases lead to death.  I looked at the stats of serious complications from the virus vs vaccine, I chose the vaccine hands down.",2896873185,drzhangnunes,"California, USA",36,656,,False,False,231,,,0,0,0.5119444444444444,0.006805555555555554,positive
2021-03-15 00:42:54,1371260584545681412,"Toronto: Please join us in Wishing A Very Happy Belated Birthday 🎂 to Phyllis Ridgway, Canada's 🇨🇦 oldest person, who turned 114 Years…",80963391,fj_newman,"Hyattsville, MD",1616,26579,,True,False,462584,,,1,0,1.0,1.0,positive
2021-03-15 00:42:53,1371260581035048960,CP24: AstraZeneca finds no evidence of increased blood clot risk from vaccine  ,2851444720,tanya_kakei,"Toronto, Canada",108,77054,,False,False,1644,,,71,0,0.0,0.0,neutral
